ID,name,Age,position,Squad,12. MP_Pct,11. Aerial Duels_Won%_Pct,10. TklW90_Pct,9. Blocks90_Pct,8. Passing%_Pct,6. TB90_Pct,7. Crs90_Pct,5. Dribbles_Succ%_Pct,3. SCA90_Pct,2. GCA90_Pct,4. Ast90_Pct,1. Gls90_Pct
2019_Niko Hansen_Columbus,Niko Hansen,24,MF,Columbus,0.3424932975871314,0.6965217391304348,0.0389344262295082,0.1570458404074703,0.6180438448566611,0.22874149659863946,0.8780821917808219,0.20487364620938628,0.8260504201680672,0.7495798319327731,0.24629878869448182,0.2479892761394102
2019_Niko Hansen_Houston,Niko Hansen,24,MF,Houston,0.18029490616621985,0.94,0.994535519125683,0.02631578947368421,0.03035413153456998,0.22874149659863946,0.9787671232876712,0.9494584837545126,0.03529411764705882,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Tesho Akindele_Orlando City,Tesho Akindele,26,FW-MF,Orlando City,0.8324396782841823,0.33652173913043476,0.3633879781420765,0.29541595925297115,0.4139966273187184,0.641156462585034,0.4712328767123288,0.20487364620938628,0.7058823529411765,0.6647058823529411,0.5477792732166891,0.9269436997319035
2019_Rashawn Dally_FC Cincinnati,Rashawn Dally,22,FW,FC Cincinnati,0.4262734584450402,0.09478260869565218,0.27937158469945356,0.14770797962648557,0.3178752107925801,0.7831632653061225,0.07876712328767123,0.20487364620938628,0.31848739495798317,0.1495798319327731,0.24629878869448182,0.7050938337801609
2019_Cristian Pavón_LA Galaxy,Cristian Pavón,23,FW-MF,LA Galaxy,0.4014745308310992,0.4608695652173913,0.2691256830601093,0.0967741935483871,0.224283305227656,0.9727891156462585,0.9191780821917809,0.3953068592057762,0.9672268907563025,0.9882352941176471,0.9515477792732167,0.8176943699731903
2019_Rece Buckmaster_NY Red Bulls,Rece Buckmaster,22,DF,NY Red Bulls,0.2432975871313673,0.7321739130434782,0.9460382513661202,0.9465195246179966,0.47133220910623946,0.22874149659863946,0.536986301369863,0.3601083032490975,0.4588235294117647,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Brooks Lennon_Real Salt Lake,Brooks Lennon,21,"DF-MF (FB, right)",Real Salt Lake,0.8324396782841823,0.68,0.30327868852459017,0.5246179966044142,0.2133220910623946,0.7908163265306123,0.8493150684931506,0.7057761732851986,0.5840336134453782,0.33949579831932775,0.5672947510094213,0.2479892761394102
2019_François Affolter_San Jose,François Affolter,27,DF (CB),San Jose,0.036193029490616625,0.03217391304347826,0.48633879781420764,0.28098471986417656,0.984822934232715,0.22874149659863946,0.07876712328767123,,0.03529411764705882,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Aaron Herrera_Real Salt Lake,Aaron Herrera,21,DF (FB),Real Salt Lake,0.9524128686327078,0.7852173913043479,0.6188524590163934,0.9269949066213922,0.48650927487352447,0.7142857142857143,0.5917808219178082,0.40703971119133575,0.4546218487394958,0.5436974789915966,0.6608344549125168,0.2479892761394102
2019_Michael Salazar_Houston,Michael Salazar,26,FW,Houston,0.2761394101876676,0.14,0.5642076502732241,0.02631578947368421,0.5413153456998314,0.9744897959183674,0.565068493150685,0.6191335740072202,0.3100840336134454,0.1495798319327731,0.24629878869448182,0.2479892761394102
